data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,event_code,subevent_code
4978950,566,NIG1796,1796,24 December 2006,2006,exact date,Riots,Mob violence,Police Forces of Nigeria (1999-2015),,state forces,Rioters (Nigeria),,rioters,military vs rioters,Western Africa,Nigeria,Federal Capital Territory,Abuja Municipal,,Abuja,9.0832996,7.5332999,high,All Africa,Regional,Angry mob kills police officer,1,1552577638,NGA,Riots,Mob violence
4978972,566,NIG1795,1795,23 December 2006,2006,exact date,Explosions/Remote violence,Remote explosive/landmine/IED,MEND: Movement for the Emancipation of the Niger Delta,,rebel groups,,,0,sole rebels action,Western Africa,Nigeria,Rivers,Port-Harcourt,,Port Harcourt,4.7774,7.0134001,high,Reuters News,International,MEND detonates bomb; no one injured,0,1552577638,NGA,Explosions/Remote violence,Remote explosive/landmine/IED
4978988,566,NIG1794,1794,21 December 2006,2006,exact date,Battles,Armed clash,Unidentified Armed Group (Nigeria),,political militias,Police Forces of Nigeria (1999-2015),,state forces,military vs political militia,Western Africa,Nigeria,Rivers,Ogba/Egbema/Ndoni,,Obagi,5.2511001,6.6129999,high,Reuters News,International,Militants clash with police at oil facility,0,1552577638,NGA,Battles,Armed clash
4978999,566,NIG1793,1793,20 December 2006,2006,exact date,Battles,Armed clash,Military Forces of Nigeria (1999-2015),,state forces,Unidentified Armed Group (Nigeria),,political militias,military vs political militia,Western Africa,Nigeria,Bayelsa,Southern Ijaw,,Tebidaba,4.5780001,5.9707999,high,Agence France Presse,International,Militants attack flow station,0,1552577638,NGA,Battles,Armed clash
4979013,566,NIG1792,1792,18 December 2006,2006,exact date,Explosions/Remote violence,Remote explosive/landmine/IED,MEND: Movement for the Emancipation of the Niger Delta,,rebel groups,Civilians (International),,civilians,rebels vs civilians,Western Africa,Nigeria,Rivers,Port-Harcourt,,Port Harcourt,4.7774,7.0134001,high,AP Reuters,International,MEND detonates duel explosives in Port Harcourt,0,1552577638,NGA,Explosions/Remote violence,Remote explosive/landmine/IED
4979039,566,NIG1791,1791,14 December 2006,2006,exact date,Battles,Armed clash,Military Forces of Nigeria (1999-2015),,state forces,Unidentified Armed Group (Nigeria),,political militias,military vs political militia,Western Africa,Nigeria,Bayelsa,Southern Ijaw,,Oporoma,4.8046999,6.0788999,high,Vanguard (Nigeria),National,Militants clash with military at oil facility,0,1552577639,NGA,Battles,Armed clash
4979077,566,NIG1790,1790,11 December 2006,2006,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (International),,civilians,political militia vs civilians,Western Africa,Nigeria,Bayelsa,Ekeremor,,Clough Creek,4.8150001,5.6090999,high,All Africa,Regional,Militants attack flow station,0,1552577639,NGA,Violence against civilians,Attack
4979091,566,NIG1789,1789,09 December 2006,2006,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Bayelsa,Sagbama,,Niger Delta,4.8333001,6,medium,AP Reuters,International,Militants open fire on oil workers on boat,0,1552577639,NGA,Violence against civilians,Attack
4979113,566,NIG1788,1788,07 December 2006,2006,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Delta,Warri South West,,Okerenghigho,5.6222,5.3922,high,All Africa,Regional,Militants attack civilians,0,1552577639,NGA,Violence against civilians,Attack
4979108,566,NIG1787,1787,07 December 2006,2006,exact date,Battles,Armed clash,Military Forces of Nigeria (1999-2015),,state forces,Unidentified Armed Group (Nigeria),,political militias,military vs political militia,Western Africa,Nigeria,Delta,Warri South West,,Okerenghigho,5.6222,5.3922,high,Reuters News,International,Militants attack Nigerian soldiers,0,1552577639,NGA,Battles,Armed clash
