data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,event_code,subevent_code
4975113,566,NIG1996,1996,29 December 2007,2007,exact date,Battles,Armed clash,Unidentified Armed Group (Nigeria),,political militias,Police Forces of Nigeria (1999-2015),,state forces,military vs political militia,Western Africa,Nigeria,Oyo,Ibadan North West,,Ibadan,7.3878002,3.8964,high,Agence France Presse,International,Nine are killed during a shootout between robbers and police in Ibadan.,9,1552577634,NGA,Battles,Armed clash
5021537,566,NIG1997,1997,29 December 2007,2007,within week,Battles,Armed clash,PDP: Peoples Democratic Party,Police Forces of Nigeria (1999-2015),political militias,ANPP: All Nigeria Peoples Party,,political militias,political militia vs political militia,Western Africa,Nigeria,Benue,Makurdi,,Makurdi,7.7410998,8.5121002,low,All Africa,Regional,ANPP and PDP clash at an unknown location in Benue.,0,1553544834,NGA,Battles,Armed clash
4975162,566,NIG1995,1995,27 December 2007,2007,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),Civilians (International),civilians,political militia vs civilians,Western Africa,Nigeria,Rivers,Port-Harcourt,,Port Harcourt,4.7774,7.0134001,high,Reuters News,International,Suspected militants attack two police stations and a luxury hotel leaving 18 dead.,18,1552577634,NGA,Violence against civilians,Attack
4975182,566,NIG1994,1994,26 December 2007,2007,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (International),,civilians,political militia vs civilians,Western Africa,Nigeria,Lagos,Lagos Island,,Lagos,6.4531002,3.3958001,medium,Agence France Presse,International,Unidentified gunmen attack the car of the Iberia Director,0,1552577634,NGA,Violence against civilians,Attack
4975198,566,NIG1993,1993,25 December 2007,2007,exact date,Battles,Armed clash,Shuwa Ethnic Militia (Nigeria),Pastoralists (Nigeria),identity militias,Kanuri Ethnic Militia (Nigeria),Farmers (Nigeria),identity militias,communal militia vs communal militia,Western Africa,Nigeria,Borno,Guzamala,,Bulabulin,12.6611,13.2795,high,UN IRIN,Other,At least three people have been killed and nine seriously injured in a clash between farmers and nomads over grazing land in Borno state. Violence erupted on 24 December in Bulabulin Ngaburawa village when herdsmen from the Shuwa tribe reportedly led their herd onto lands belonging to farmers from the Kanuri tribe.,3,1552577634,NGA,Battles,Armed clash
4975208,566,NIG1992,1992,24 December 2007,2007,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Edo,Oredo,,Benin City,6.3351002,5.6275001,high,Vanguard (Nigeria),National,Unidentified assassins kill University Professor,1,1552577634,NGA,Violence against civilians,Attack
4975213,566,NIG1990,1990,23 December 2007,2007,exact date,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Lagos,Lagos Island,,Lagos,6.4531002,3.3958001,medium,Agence France Presse,International,Following vandalism 40 civilians are killed in an oil pipeline explosion.,40,1552577634,NGA,Explosions/Remote violence,Remote explosive/landmine/IED
5183377,566,NIG1991,1991,23 December 2007,2007,within week,Riots,Mob violence,Rioters (Nigeria),,rioters,Police Forces of Nigeria (1999-2015),,state forces,military vs rioters,Western Africa,Nigeria,Borno,Gwoza,,Gwoza,11.084,13.6925,high,Daily Trust,National,Two people have been left dead after a bloody clash between over 250 youths and the police in Gwoza local government area of Borno State.,2,1558387849,NGA,Riots,Mob violence
4975265,566,NIG1989,1989,15 December 2007,2007,within month,Riots,Violent demonstration,Rioters (Nigeria),Students (Nigeria),rioters,,,0,sole rioter action,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,high,Daily Trust,National,"The University of Maiduguri was closed down midway into second semester exams, following rampaging protests by students over alleged ""blasphemy"". The protest followed allegation that a student had used pages of Quran to clean himself up after excretion.",0,1552577634,NGA,Riots,Violent demonstration
4975307,566,NIG1988,1988,11 December 2007,2007,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Lagos,Lagos Island,,Lagos,6.4531002,3.3958001,medium,Xinhua News,International,Five were killed along the Lagos-Abeokuta Expressway with stray gunfire.,5,1552577634,NGA,Violence against civilians,Attack
