data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,event_code,subevent_code
4987681,566,NIG1186,1186,31 December 2003,2003,exact date,Battles,Armed clash,Police Forces of Nigeria (1999-2015),,state forces,Al-Sunna wal Jamma Militia,,political militias,military vs political militia,Western Africa,Nigeria,Yobe,Geidam,,Geidam,12.897,11.9304,high,Associated Press,International,Islamic radical group attacks police stations,0,1552577648,NGA,Battles,Armed clash
5183392,566,NIG1185,1185,31 December 2003,2003,exact date,Battles,Armed clash,Police Forces of Nigeria (1999-2015),,state forces,Al-Sunna wal Jamma Militia,,political militias,military vs political militia,Western Africa,Nigeria,Yobe,Damaturu,,Damaturu,11.747,11.9608,high,Associated Press,International,"In successive days of violence between an Islamist militia and police forces, fighting surged on New Years Eve, when Nigerias government sent riot police reinforcements from outside Yobe state. As some civilians fled, one band of Al Sunna Wal Jamma fighters retreated to Damaturu, where they looted and burned a police station and a local government office.",0,1558387849,NGA,Battles,Armed clash
4987692,566,NIG1184,1184,30 December 2003,2003,exact date,Battles,Armed clash,Police Forces of Nigeria (1999-2015),,state forces,Al-Sunna wal Jamma Militia,,political militias,military vs political militia,Western Africa,Nigeria,Yobe,Geidam,,Geidam,12.897,11.9304,high,Associated Press,International,Islamic radical group attacks police stations,0,1552577648,NGA,Battles,Armed clash
5145375,566,NIG1183,1183,29 December 2003,2003,exact date,Strategic developments,Headquarters or base established,Al-Sunna wal Jamma Militia,,political militias,,,0,sole political militia action,Western Africa,Nigeria,Yobe,Geidam,,Geidam,12.897,11.9304,high,Associated Press International,International,"Members of a militant Islamist sect who attacked police stations in Kanama and Geidam have retreated to a primary school in Geidam, to establish a base, raising flags bearing the word ""Afghanistan.""",0,1556572281,NGA,Strategic developments,Headquarters or base established
4987712,566,NIG1182,1182,29 December 2003,2003,exact date,Battles,Armed clash,Al-Sunna wal Jamma Militia,,political militias,Police Forces of Nigeria (1999-2015),,state forces,military vs political militia,Western Africa,Nigeria,Yobe,Yunusari,,Kanama,13.0886,12.1056,high,Agence France Presse,International,"Some 200 members of an Islamic group mobbed a police station in northern Nigerias Yobe State, killing one police officer; The incident occurred in Kanamma, some 240 kilometres (150 miles) north of the state capital Damaturu. The Mahairun sect, which came to the state from nearby Borno State three months ago, attacked another police station in Geidam where arms and ammunition were also taken away",1,1552577648,NGA,Battles,Armed clash
4987703,566,NIG1181,1181,29 December 2003,2003,exact date,Battles,Armed clash,Al-Sunna wal Jamma Militia,,political militias,Police Forces of Nigeria (1999-2015),,state forces,military vs political militia,Western Africa,Nigeria,Yobe,Geidam,,Geidam,12.897,11.9304,high,Agence France Presse,International,"Some 200 members of an Islamic group mobbed a police station in northern Nigerias Yobe State, killing one police officer; The incident occurred in Kanamma, some 240 kilometres (150 miles) north of the state capital Damaturu. The Mahairun sect, which came to the state from nearby Borno State three months ago, attacked another police station in Geidam where arms and ammunition were also taken away",0,1552577648,NGA,Battles,Armed clash
4987732,566,NIG1179,1179,24 December 2003,2003,exact date,Battles,Armed clash,Al-Sunna wal Jamma Militia,,political militias,Police Forces of Nigeria (1999-2015),Government of Nigeria (1999-2015),state forces,military vs political militia,Western Africa,Nigeria,Yobe,Geidam,,Geidam,12.897,11.9304,high,Friedrich Ebert Stiftung,International,An islamic group attacks police stations and public buildings in Geidam and Kanama in Yobe state.,0,1552577648,NGA,Battles,Armed clash
4987731,566,NIG1180,1180,24 December 2003,2003,exact date,Battles,Armed clash,Al-Sunna wal Jamma Militia,,political militias,Police Forces of Nigeria (1999-2015),Government of Nigeria (1999-2015),state forces,military vs political militia,Western Africa,Nigeria,Yobe,Yunusari,,Kanama,13.0886,12.1056,high,Friedrich Ebert Stiftung,International,An islamic group attacks police stations and public buildings in Geidam and Kanama in Yobe state.,0,1552577648,NGA,Battles,Armed clash
4987735,566,NIG1178,1178,23 December 2003,2003,exact date,Battles,Armed clash,Unidentified Armed Group (Nigeria),,political militias,Military Forces of Nigeria (1999-2015),,state forces,military vs political militia,Western Africa,Nigeria,Delta,Sapele,,Sapele,5.8941002,5.6767001,high,Panafrican News Agency,Regional,A clash between an armed group and the Nigerian Navy leaves 5 dead at an oil depot.,5,1552577648,NGA,Battles,Armed clash
4987751,566,NIG1177,1177,19 December 2003,2003,exact date,Violence against civilians,Attack,Itsekiri Ethnic Militia (Nigeria),,identity militias,Civilians (Nigeria),,civilians,communal militia vs civilians,Western Africa,Nigeria,Delta,Warri South,,Warri,5.5166998,5.75,high,Agence France Presse,International,A small group of Itsekiri men attack a boat carrying an Ijaw man and kill him.,1,1552577648,NGA,Violence against civilians,Attack
